2[um],2.25[um],2.5[um],2.75[um]
2.66749400512544,2.68587297497616,2.70025113354614,2.71165436732509
2.66366092416011,2.68249476658836,2.69726397449180,2.70899797806422
2.65982850959743,2.67911057186196,2.69426791397452,2.70633176759855
2.65599741120368,2.67572065653340,2.69126292270118,2.70365548990752
2.65216837477417,2.67232536147769,2.68824905362561,2.70096898542177
2.64834216520246,2.66892509147216,2.68522643075698,2.69827216983009
2.64451959888380,2.66552030540856,2.68219523942219,2.69556502434509
2.64070152352912,2.66211150773983,2.67915571776791,2.69284758721288
2.63688881086522,2.65869924098288,2.67610814932275,2.69011994628672
2.63308234996526,2.65528407912726,2.67305285646858,2.68738223251353
2.62928304131317,2.65186662182318,2.66999019469395,2.68463461420551
2.62549179153431,2.64844748924213,2.66692054752185,2.68187729198898
2.62170950871134,2.64502731751937,2.66384432202069,2.67911049433886
2.61793709821206,2.64160675470151,2.66076194482075,2.67633447362075
2.61417545896529,2.63818645713336,2.65767385856993,2.67354950257403
2.61042548013017,2.63476708622822,2.65458051877215,2.67075587117911
2.60668803811139,2.63134930557326,2.65148239095982,2.66795388385983
2.60296399387972,2.62793377832896,2.64837994815853,2.66514385697904
2.59925419056210,2.62452116488672,2.64527366860806,2.66232611659100
2.59555945127050,2.62111212075387,2.64216403370841,2.65950099641935
2.59188057714208,2.61770729463930,2.63905152616395,2.65666883603326
2.58821834556626,2.61430732671611,2.63593662830211,2.65382997919829
2.58457350857703,2.61091284704084,2.63281982054612,2.65098477238118
2.58094679139051,2.60752447411104,2.62970158002382,2.64813356339071
2.57733889106972,2.60414281354502,2.62658237929670,2.64527670013858
2.57375047529977,2.60076845686927,2.62346268519528,2.64241452950665
2.57018218125773,2.59740198040065,2.62034295774819,2.63954739630808
2.56663461456284,2.59404394421122,2.61722364919420,2.63667564233146
2.56310834829307,2.59069489116513,2.61410520306694,2.63379960545838
2.55960392205566,2.58735534601737,2.61098805334346,2.63091961884558
2.55612184109959,2.58402581456524,2.60787262364855,2.62803601016401
2.55266257545948,2.58070678284384,2.60475932650714,2.62514910088774
2.54922655912133,2.57739871635778,2.60164856263814,2.62225920562628
2.54581418920211,2.57410205934147,2.59854072028335,2.61936663149454
2.54242582513652,2.57081723404151,2.59543617456554,2.61647167751520
2.53906178786631,2.56754464001460,2.59233528687040,2.61357463404836
2.53572235902927,2.56428465343587,2.58923840424735,2.61067578224420
2.53240778014743,2.56103762641237,2.58614585882448,2.60777539351433
2.52911825181602,2.55780388629796,2.58305796723362,2.60487372901797
2.52585393289742,2.55458373500622,2.57997503004139,2.60197103915944
2.52261493972676,2.55137744831906,2.57689733118308,2.59906756309357
2.51940134533797,2.54818527518973,2.57382513739608,2.59616352823591
2.51621317872173,2.54500743703991,2.57075869765029,2.59325914977507
2.51305042412857,2.54184412705164,2.56769824257342,2.59035463018439
2.50991302043219,2.53869550945595,2.56464398386939,2.58745015873069
2.50680086056930,2.53556171882130,2.56159611372861,2.58454591097807
2.50371379107332,2.53244285934584,2.55855480422953,2.58164204828467
2.50065161171912,2.52933900415859,2.55552020673122,2.57873871729102
2.49761407529603,2.52625019463577,2.55249245125741,2.57583604939842
2.49460088752504,2.52317643973907,2.54947164587275,2.57293416023637
2.49161170713458,2.52011771538348,2.54645787605296,2.57003314911809
2.48864614610688,2.51707396384274,2.54345120405046,2.56713309848367
2.48570377010423,2.51404509320087,2.54045166825810,2.56423407333035
2.48278409908113,2.51103097685796,2.53745928257364,2.56133612062988
2.47988660808443,2.50803145309859,2.53447403576808,2.55843926873309
2.47701072824027,2.50504632473048,2.53149589086121,2.55554352676193
2.47415584792198,2.50207535880037,2.52852478450803,2.55264888398951
2.47132131408984,2.49911828639304,2.52556062639953,2.54975530920867
2.46850643378942,2.49617480251838,2.52260329868146,2.54686275008992
2.46571047579222,2.49324456608977,2.51965265539464,2.54397113252946
2.46293267235909,2.49032719999550,2.51670852193979,2.54108035998806
2.46017222110481,2.48742229126338,2.51377069456997,2.53819031282161
2.45742828693994,2.48452939131675,2.51083893991254,2.53530084760390
2.45470000406524,2.48164801631827,2.50791299452273,2.53241179644210
2.45198647799303,2.47877764759609,2.50499256446943,2.52952296628513
2.44928678756985,2.47591773214534,2.50207732495350,2.52663413822492
2.44659998697544,2.47306768319586,2.49916691995775,2.52374506678984
2.44392510767378,2.47022688083602,2.49626096192681,2.52085547922952
2.44126116029347,2.46739467268075,2.49335903147407,2.51796507478941
2.43860713641636,2.46457037457093,2.49046067711179,2.51507352397296
2.43596201025528,2.46175327129018,2.48756541499928,2.51218046778851
2.43332474020370,2.45894261728438,2.48467272870303,2.50928551697735
2.43069427024244,2.45613763736877,2.48178206896149,2.50638825121827
