2[um],2.3[um],2.5[um],2.8[um],3[um],4[um],5[um]
2.681903326,2.701624956,2.711751004,2.723720993,2.73008248837864,2.75031747477935,2.76060073393253
2.678013406,2.698322525,2.708772045,2.721142812,2.72772530956177,2.74870045463367,2.75938267648638
2.674120394,2.695012229,2.705784405,2.718556388,2.72536073343936,2.74708160301754,2.75816738032892
2.670224567,2.691693804,2.702787566,2.715960929,2.72298783769549,2.74545963748637,2.75695341835422
2.666326336,2.688367131,2.699781161,2.7133558,2.72060585501996,2.74383343581858,2.75573952577524
2.662426222,2.685032213,2.696764949,2.710740496,2.71821415289430,2.74220201569688,2.75452457976062
2.658524838,2.681689161,2.693738803,2.70811463,2.71581221623238,2.74056451725207,2.75330758193612
2.654622875,2.678338178,2.690702689,2.705477913,2.71339963242330,2.73892018801647,2.75208764329803
2.650721091,2.674979542,2.687656659,2.702830144,2.71097607840304,2.73726836991326,2.75086397116438
2.646820296,2.671613603,2.684600834,2.700171201,2.70854130944545,2.73560848797187,2.74963585785428
2.642921343,2.668240765,2.681535402,2.697501027,2.70609514941510,2.73394004051157,2.74840267083734
2.639025121,2.664861481,2.678460599,2.694819621,2.70363748226704,2.73226259057804,2.74716384413803
2.635132546,2.661476249,2.675376712,2.692127037,2.70116824461331,2.73057575845240,2.74591887081414
2.631244553,2.658085597,2.672284067,2.689423369,2.69868741920475,2.72887921508094,2.74466729635777
2.627362094,2.654690086,2.669183021,2.686708754,2.69619502920024,2.72717267629736,2.74340871289046
2.623486126,2.651290299,2.666073965,2.68398336,2.69369113311527,2.72545589772921,2.74214275404403
2.619617614,2.647886839,2.662957311,2.681247383,2.69117582035802,2.72372867029627,2.74086909043497
2.615757521,2.644480324,2.659833492,2.678501045,2.68864920727472,2.72199081622249,2.73958742565378
2.611906806,2.641071383,2.656702959,2.675744592,2.68611143363760,2.72024218549451,2.73829749270223
2.608066421,2.637660656,2.653566176,2.672978285,2.68356265951823,2.71848265270920,2.73699905082099
2.604237307,2.634248786,2.650423619,2.670202388,2.68100306249723,2.71671211426111,2.73569188265834
2.600420393,2.63083642,2.647275772,2.66741722,2.67843283516814,2.71493048582717,2.73437579173727
2.596616592,2.627424206,2.644123125,2.664623069,2.67585218289892,2.71313770011204,2.73305060018431
2.592826799,2.624012789,2.640966172,2.661820246,2.67326132181971,2.71133370482238,2.73171614668828
2.589051887,2.620602813,2.637805409,2.65900907,2.67066047700936,2.70951846084238,2.73037228466117
2.58529271,2.617194915,2.634641333,2.656189862,2.66804988085710,2.70769194058679,2.72901888057734
2.581550096,2.613789725,2.631474441,2.653362952,2.66542977157853,2.70585412651020,2.72765581246975
2.577824849,2.610387866,2.628305226,2.650528667,2.66280039186793,2.70400500975466,2.72628296856518
2.574117747,2.606989951,2.625134177,2.64768734,2.66016198767096,2.70214458891929,2.72490024604203
2.570429536,2.603596581,2.621961779,2.644839301,2.65751480706379,2.70027286893800,2.72350754989678
2.566760938,2.600208346,2.618788513,2.641984881,2.65485909922652,2.69838986005286,2.72210479190643
2.563112641,2.596825824,2.615614849,2.639124408,2.65219511349982,2.69649557687205,2.72069188967606
2.559485301,2.593449577,2.612441252,2.636258209,2.64952309851541,2.69459003750288,2.71926876576162
2.555879486,2.590080153,2.609268177,2.633386604,2.64684330139152,2.69267326275102,2.71783534685921
2.552295901,2.586718084,2.60609607,2.630509912,2.64415596698600,2.69074527537843,2.71639156305331
2.548735044,2.583363885,2.602925366,2.627628447,2.64146133719987,2.68880609941307,2.71493734711672
2.545197435,2.580018055,2.599756491,2.624742514,2.63875965032544,2.68685575950413,2.71347263385626
