0.05[um],0.1[um],0.15[um],
-5.154484671351787E-10i,-6.59271702084952E-10i,-8.847854009110537E-10i,
-8.151689100282769E-10i,-1.0354811456411078E-9i,-1.3763521494839373E-9i,
-1.270764117272301E-9i,-1.6036193130146808E-9i,-2.1121020061530198E-9i,
-1.9539727283492494E-9i,-2.4502650586421263E-9i,-3.19924491833362E-9i,
-2.9653197107054312E-9i,-3.6960025631164454E-9i,-4.785926760266012E-9i,
-4.443975760822683E-9i,-5.506786868698508E-9i,-7.074499084824654E-9i,
-6.580389975529892E-9i,-8.108422979909736E-9i,-1.0338291863202308E-8i,
-9.632303471892192E-9i,-1.180480437503108E-8i,-1.4942585233828716E-8i,
-1.3944835892184504E-8i,-1.700065069189334E-8i,-2.137056734532868E-8i,
-1.9975403143624847E-8i,-2.4229547467003003E-8i,-3.025511339202767E-8i,
-2.8324340478799494E-8i,-3.418820218160233E-8i,-4.241733937273998E-8i,
-3.977215552757337E-8i,-4.7777870092860835E-8i,-5.8912903074005876E-8i,
-5.5324426150841596E-8i,-6.615399648198524E-8i,-8.108715186344556E-8i,
-7.626541997048267E-8i,-9.078515506812468E-8i,-1.1064152560564864E-7i,
-1.0422155855468461E-7i,-1.2352240399500719E-7i,-1.4970431408570724E-7i,
-1.412358799340549E-7i,-1.666801983911419E-7i,-2.0092586223903046E-7i,
-1.898546592745103E-7i,-2.23129969363672E-7i,-2.6757538835884965E-7i,
-2.5322734841273974E-7i,-2.9640746524591014E-7i,-3.5365719757636156E-7i,
-3.352209158588443E-7i,-3.908348498451242E-7i,-4.640409517482069E-7i,
-4.405496202199292E-7i,-5.116584761752397E-7i,-6.046076828605175E-7i,
-5.749211226796729E-7i,-6.652030806304074E-7i,-7.824121156506139E-7i,
-7.451996827144242E-7i,-8.590429883145694E-7i,-1.0058616863423386E-6i,
-9.595870050964369E-7i,-1.1021906805984905E-6i,-1.284912382385065E-6i,
-1.2278210593710243E-6i,-1.4053028303413045E-6i,-1.6312812484574204E-6i,
-1.5613929358921843E-6i,-1.780903609960511E-6i,-2.058675094292622E-6i,
-1.9737814789965016E-6i,-2.243624757589611E-6i,-2.583034596496943E-6i,
-2.480705112422706E-6i,-2.8104615181944737E-6i,-3.2227926330198283E-6i,
-3.100389886262058E-6i,-3.501043217192857E-6i,-3.9991452990773846E-6i,
-3.853852387702351E-6i,-4.337916809207348E-6i,-4.936333680948969E-6i,
-4.765195752182749E-6i,-5.346841348671291E-6i,-6.061934059650615E-6i,
-5.8619165761968705E-6i,-6.557090936505953E-6i,-7.407153866114296E-6i,
-7.1752201215767405E-6i,-8.001763283660823E-6i,-9.007130325007825E-6i,
-8.74034081269666E-6i,-9.71809066776368E-6i,-1.0901228426389148E-5i,
-1.0596864607828998E-5i,-1.1747749741410234E-5i,-1.3133334549572277E-5i,
-1.2789049507118119E-5i,-1.4137166314848409E-5i,-1.5752141863625543E-5i,
-1.5366140150930593E-5i,-1.6937811023709034E-5i,-1.881142343150023E-5i,
-1.8382672192713856E-5i,-2.0206481606628634E-5i,-2.2370288842214755E-5i,
-2.1898761997090656E-5i,-2.4005567419020784E-5i,-2.649342020514657E-5i,
-2.5980377064122576E-5i,-2.8403291769152752E-5i,-3.125128334259204E-5i,
-3.069958261939046E-5i,-3.347392776462757E-5i,-3.672031022328824E-5i,
-3.613475985534179E-5i,-3.929798349932543E-5i,-4.2983048883854245E-5i,
-4.237079150688984E-5i,-4.596235266090719E-5i,-5.012827741320688E-5i,
-4.949921073521073E-5i,-5.356042702674289E-5i,-5.8251079020546164E-5i,
-5.761830966233731E-5i,-6.219216773220377E-5i,-6.745287566369614E-5i,
