% Model,hex structure V4 - GeAsS.mph
% Version,COMSOL 6.3.0.290
% Date,"May 31 2026, 12:13"
% Table,Table 1 - Global Evaluation 1
% wl,hang (m),r (m),Effective mode index (1),real(ewfd.neff) (1),Aeff (m^2)
4.2,1.5E-7,2.0E-6,2.562650868258598-0.052271526023042435i,2.562650868258598,7.092271713564733E-11
4.2,1.5E-7,2.0E-6,2.570517309581684-0.14037133786965852i,2.570517309581684,6.967168433866938E-11
4.2,1.5E-7,2.0E-6,2.5705176536638623-0.14037240234872808i,2.5705176536638623,6.96717106823435E-11
4.2,1.5E-7,2.0E-6,2.572725535854795-0.04987871591331006i,2.572725535854795,7.411691414463992E-11
4.2,1.5E-7,2.0E-6,2.5727255506811884-0.04987874789370369i,2.5727255506811884,7.41179011571559E-11
4.2,1.5E-7,2.0E-6,2.5772697200693195-0.13908251007006917i,2.5772697200693195,6.983173904104285E-11
4.2,1.5E-7,2.0E-6,2.5772700171037877-0.13908343561170078i,2.5772700171037877,6.983189215041124E-11
4.2,1.5E-7,2.0E-6,2.5812306971248398-0.04764454988724026i,2.5812306971248398,7.04644476039293E-11
4.2,1.5E-7,2.0E-6,2.5816209030839072-0.04800677613964944i,2.5816209030839072,6.964521762723579E-11
4.2,1.5E-7,2.0E-6,2.582356449879653-0.1378869662117185i,2.582356449879653,7.027590302595638E-11
4.2,1.5E-7,2.0E-6,2.582649226209928-0.1383066924579579i,2.582649226209928,6.905997317216455E-11
4.2,1.5E-7,2.0E-6,2.5862322255703667-0.1373977667521645i,2.5862322255703667,7.043158057608123E-11
4.2,1.5E-7,2.0E-6,2.5862324877688003-0.13739857370890363i,2.5862324877688003,7.043182665184031E-11
4.2,1.5E-7,2.0E-6,2.5884710848758057-0.1369737039401113i,2.5884710848758057,5.691423039251121E-11
4.2,1.5E-7,2.0E-6,2.5884712103391467-0.13697408516764015i,2.5884712103391467,5.691171257977585E-11
4.2,1.5E-7,2.0E-6,2.5887660053546697-0.04609867139173694i,2.5887660053546697,6.961948010591344E-11
4.2,1.5E-7,2.0E-6,2.588766042512042-0.046098714661768944i,2.588766042512042,6.962064938451159E-11
4.2,1.5E-7,2.0E-6,2.5892166883672796-0.13683313162501065i,2.5892166883672796,2.2930946806182044E-12
4.2,1.5E-7,2.0E-6,2.594758656073386-0.04468412841275593i,2.594758656073386,6.958486898384269E-11
4.2,1.5E-7,2.0E-6,2.594758690643595-0.04468417054469964i,2.594758690643595,6.958577704253717E-11
4.2,1.5E-7,2.0E-6,2.5992223493226323-0.04341601509131032i,2.5992223493226323,7.061023823832448E-11
4.2,1.5E-7,2.0E-6,2.599593484629332-0.043785224375339306i,2.599593484629332,6.953173206346623E-11
4.2,1.5E-7,2.0E-6,2.602723441992013-0.042831578247142066i,2.602723441992013,6.942029339511636E-11
4.2,1.5E-7,2.0E-6,2.6027234734081284-0.042831616054760276i,2.6027234734081284,6.942110311819698E-11
4.2,1.5E-7,2.0E-6,2.6047128649420808-0.04236238368292919i,2.6047128649420808,6.940573537787546E-11
4.2,1.5E-7,2.0E-6,2.6047128822136414-0.042362403276195885i,2.6047128822136414,6.940603070974774E-11
4.2,1.5E-7,2.0E-6,2.605375574003115-0.04220669414366919i,2.605375574003115,1.040888489999751E-10
4.2,2.0E-7,2.0E-6,2.4721668565921444-0.07400225195942153i,2.4721668565921444,7.177414122851506E-11
4.2,2.0E-7,2.0E-6,2.4721669065403264-0.07400223625659556i,2.4721669065403264,7.17741076535298E-11
4.2,2.0E-7,2.0E-6,2.4777309766221363+6.972759726346394E-16i,2.4777309766221363,7.924517093957546E-12
4.2,2.0E-7,2.0E-6,2.4777361391383352,2.4777361391383352,7.924106151335971E-12
4.2,2.0E-7,2.0E-6,2.490923296531127-0.06941750840010281i,2.490923296531127,7.068760451998365E-11
4.2,2.0E-7,2.0E-6,2.4909233698515485-0.06941749130370334i,2.4909233698515485,7.068777082542324E-11
4.2,2.0E-7,2.0E-6,2.5078448687479193-0.0650312707884513i,2.5078448687479193,7.10255489415455E-11
4.2,2.0E-7,2.0E-6,2.508486800752412-0.06544017773194716i,2.508486800752412,7.004167301511288E-11
4.2,2.0E-7,2.0E-6,2.523925376066381-0.06143494471401233i,2.523925376066381,7.529809398957259E-11
4.2,2.0E-7,2.0E-6,2.5239253939992023-0.06143494162458724i,2.5239253939992023,7.529791312008171E-11
4.2,2.0E-7,2.0E-6,2.5277586316273957-0.1481860437020341i,2.5277586316273957,6.999854362103332E-11
4.2,2.0E-7,2.0E-6,2.5281924515809147-0.14876653651269478i,2.5281924515809147,6.919802442848375E-11
4.2,2.0E-7,2.0E-6,2.5382291808010193-0.05799463865242007i,2.5382291808010193,7.067817736682892E-11
4.2,2.0E-7,2.0E-6,2.5382291885614894-0.05799464239669792i,2.5382291885614894,7.067850910121834E-11
4.2,2.0E-7,2.0E-6,2.5409418226229574-0.14593407744531242i,2.5409418226229574,6.970745661571869E-11
4.2,2.0E-7,2.0E-6,2.5409419957981787-0.1459346562333727i,2.5409419957981787,6.970729672844665E-11
4.2,2.0E-7,2.0E-6,2.5508094804914268-0.054686892947513124i,2.5508094804914268,7.082406218939069E-11
4.2,2.0E-7,2.0E-6,2.5513975966784406-0.05515642493891717i,2.5513975966784406,6.977957943600083E-11
4.2,2.0E-7,2.0E-6,2.552328265482638-0.14371588563035187i,2.552328265482638,6.976365184371098E-11
4.2,2.0E-7,2.0E-6,2.552328429770942-0.14371647222468556i,2.552328429770942,6.976345226900906E-11
4.2,2.0E-7,2.0E-6,2.5619184682247456-0.14151464512424652i,2.5619184682247456,7.03103058131039E-11
4.2,2.0E-7,2.0E-6,2.5623740352203503-0.14214346045882972i,2.5623740352203503,6.908930823521823E-11
4.2,2.0E-7,2.0E-6,2.5625699197557186-0.05219637270380287i,2.5625699197557186,6.982726450144992E-11
4.2,2.0E-7,2.0E-6,2.5625699414253424-0.05219639828792169i,2.5625699414253424,6.982785718940151E-11
4.2,2.0E-7,2.0E-6,2.57042169032162-0.1402491718274146i,2.57042169032162,7.005842516699933E-11
4.2,2.0E-7,2.0E-6,2.5704219305732896-0.14024986205233747i,2.5704219305732896,7.005848625554788E-11
4.2,2.0E-7,2.0E-6,2.572647282066226-0.049799587360845936i,2.572647282066226,6.978016049445991E-11
4.2,2.0E-7,2.0E-6,2.5726473124779354-0.04979962008709629i,2.5726473124779354,6.978068866644404E-11
4.2,2.0E-7,2.0E-6,2.577179201235965-0.13895337228617866i,2.577179201235965,7.032762058006622E-11
4.2,2.0E-7,2.0E-6,2.5771794781639326-0.13895413779282023i,2.5771794781639326,7.032771102046474E-11
4.2,2.0E-7,2.0E-6,2.5810768410030014-0.047495961352738134i,2.5810768410030014,7.070685135160987E-11
4.2,2.0E-7,2.0E-6,2.58162102809945-0.048002756731771i,2.58162102809945,6.959385420950106E-11
4.2,2.0E-7,2.0E-6,2.5821699641585805-0.13764865545149377i,2.5821699641585805,7.049512213652521E-11
4.2,2.0E-7,2.0E-6,2.5826476594954375-0.1383051829726293i,2.5826476594954375,6.905852868913873E-11
4.2,2.0E-7,2.0E-6,2.5861341632234094-0.13728787759951772i,2.5861341632234094,7.019350761172107E-11
4.2,2.0E-7,2.0E-6,2.5861342828332776-0.13728820577430137i,2.5861342828332776,7.019396419391877E-11
4.2,2.0E-7,2.0E-6,2.5883757623431967-0.1368590985049666i,2.5883757623431967,4.389164158363717E-11
4.2,2.0E-7,2.0E-6,2.5883758698033015-0.13685944015726387i,2.5883758698033015,4.388992498409153E-11
4.2,2.0E-7,2.0E-6,2.5886903417415623-0.046024867287910325i,2.5886903417415623,6.96111473218804E-11
4.2,2.0E-7,2.0E-6,2.5886903583567906-0.046024888738392736i,2.5886903583567906,6.961183410816682E-11
4.2,2.0E-7,2.0E-6,2.5891219599447144-0.13671766524351614i,2.5891219599447144,3.0477906412233922E-12
4.2,2.0E-7,2.0E-6,2.5946853999551593-0.044604351606379364i,2.5946853999551593,6.96275238434899E-11
4.2,2.0E-7,2.0E-6,2.59468541798295-0.04460437571684772i,2.59468541798295,6.962815687552139E-11
4.2,2.0E-7,2.0E-6,2.59907461855422-0.04327160728872083i,2.59907461855422,7.093839986081346E-11
4.2,2.0E-7,2.0E-6,2.599593571332492-0.04378425982634745i,2.599593571332492,6.951209070616336E-11
4.2,2.0E-7,2.0E-6,2.602648707881428-0.04276648745357708i,2.602648707881428,6.946861106904433E-11
4.2,2.0E-7,2.0E-6,2.6026487182638136-0.042766497372564286i,2.6026487182638136,6.946849406321246E-11
4.2,2.0E-7,2.0E-6,2.6046392953769484-0.0422936025133562i,2.6046392953769484,6.933966628169528E-11
4.2,2.0E-7,2.0E-6,2.604639311696276-0.042293620572098296i,2.604639311696276,6.93395808341774E-11
4.2,2.0E-7,2.0E-6,2.605302288742673-0.04213720881251976i,2.605302288742673,1.0396557124939891E-10
4.300000000000001,5.0E-8,2.0E-6,2.4664640871017958-0.07635623585767573i,2.4664640871017958,7.083661304598497E-11
4.300000000000001,5.0E-8,2.0E-6,2.466465368833096-0.07635595250388295i,2.466465368833096,7.0837586105282E-11
4.300000000000001,5.0E-8,2.0E-6,2.468330602158771,2.468330602158771,7.994885288466922E-12
4.300000000000001,5.0E-8,2.0E-6,2.468330848894797,2.468330848894797,7.99494949248517E-12
4.300000000000001,5.0E-8,2.0E-6,2.4860189162076005-0.07146978403010394i,2.4860189162076005,7.071770368721427E-11
4.300000000000001,5.0E-8,2.0E-6,2.4860197403780737-0.07146959622715449i,2.4860197403780737,7.071827683972418E-11
4.300000000000001,5.0E-8,2.0E-6,2.50391732877389-0.06696304554996149i,2.50391732877389,7.079027839453654E-11
4.300000000000001,5.0E-8,2.0E-6,2.504059032683269-0.0670524332470576i,2.504059032683269,7.054575778102384E-11
4.300000000000001,5.0E-8,2.0E-6,2.520406786813577-0.06295382344748196i,2.520406786813577,7.048168798783479E-11
4.300000000000001,5.0E-8,2.0E-6,2.5204071041763516-0.0629537530502585i,2.5204071041763516,7.048195499242241E-11
4.300000000000001,5.0E-8,2.0E-6,2.5250728822080326-0.149450664907676i,2.5250728822080326,6.941556242804343E-11
4.300000000000001,5.0E-8,2.0E-6,2.525112237714019-0.14950799082154367i,2.525112237714019,6.931149530402726E-11
4.300000000000001,5.0E-8,2.0E-6,2.535306609148475-0.05929358997359696i,2.535306609148475,7.037733933648822E-11
4.300000000000001,5.0E-8,2.0E-6,2.5353067962654627-0.059293550177184004i,2.5353067962654627,7.03774331181405E-11
4.300000000000001,5.0E-8,2.0E-6,2.538649436422418-0.14677235392424187i,2.538649436422418,7.008104673274164E-11
4.300000000000001,5.0E-8,2.0E-6,2.5386494933155896-0.14677259061947834i,2.5386494933155896,7.00809915092547E-11
4.300000000000001,5.0E-8,2.0E-6,2.5486484246597607-0.055963856818116574i,2.5486484246597607,7.048731089259406E-11
4.300000000000001,5.0E-8,2.0E-6,2.5487807029098524-0.056067885862094394i,2.5487807029098524,7.022918445084507E-11
4.300000000000001,5.0E-8,2.0E-6,2.5505468922840255-0.1444212025981473i,2.5505468922840255,6.994798567069638E-11
4.300000000000001,5.0E-8,2.0E-6,2.550546971458109-0.1444213492855577i,2.550546971458109,6.994805429817319E-11
4.300000000000001,5.0E-8,2.0E-6,2.5606538668603447-0.05310973301680154i,2.5606538668603447,7.212346919790512E-11
4.300000000000001,5.0E-8,2.0E-6,2.5606539127196273-0.053109721555435044i,2.5606539127196273,7.212341341460251E-11
4.300000000000001,5.0E-8,2.0E-6,2.5607853368951816-0.14237431515454796i,2.5607853368951816,6.931782623401826E-11
4.300000000000001,5.0E-8,2.0E-6,2.560833472297013-0.1424480810859368i,2.560833472297013,6.919154217505642E-11
4.300000000000001,5.0E-8,2.0E-6,2.569458018488238-0.14072975221307174i,2.569458018488238,6.927166147864235E-11
4.300000000000001,5.0E-8,2.0E-6,2.569458085349306-0.14072989362429555i,2.569458085349306,6.92717554505743E-11
4.300000000000001,5.0E-8,2.0E-6,2.5711447567658317-0.05056551200184047i,2.5711447567658317,7.141976135423884E-11
4.300000000000001,5.0E-8,2.0E-6,2.5711447767637514-0.05056551024263737i,2.5711447767637514,7.141982526143478E-11
4.300000000000001,5.0E-8,2.0E-6,2.5765105920493037-0.1393667453974785i,2.5765105920493037,6.92571710769635E-11
4.300000000000001,5.0E-8,2.0E-6,2.5765107336118667-0.1393671445827105i,2.5765107336118667,6.925723307195057E-11
4.300000000000001,5.0E-8,2.0E-6,2.580142968425129-0.048319884483847476i,2.580142968425129,7.025515320493133E-11
4.300000000000001,5.0E-8,2.0E-6,2.5802653633557595-0.04843328041527337i,2.5802653633557595,6.996441558648504E-11
4.300000000000001,5.0E-8,2.0E-6,2.581951461544346-0.13826380372021238i,2.581951461544346,6.93166498657023E-11
4.300000000000001,5.0E-8,2.0E-6,2.5820105200668784-0.1383667687136454i,2.5820105200668784,6.912759887396285E-11
4.300000000000001,5.0E-8,2.0E-6,2.5858804202392003-0.13756826222289284i,2.5858804202392003,6.942676974013082E-11
4.300000000000001,5.0E-8,2.0E-6,2.5858804953476833-0.13756851756116123i,2.5858804953476833,6.942685253934698E-11
4.300000000000001,5.0E-8,2.0E-6,2.587846556690795-0.04653553623090438i,2.587846556690795,7.095832076959101E-11
4.300000000000001,5.0E-8,2.0E-6,2.58784655824346-0.046535538163094456i,2.58784655824346,7.095826700145857E-11
4.300000000000001,5.0E-8,2.0E-6,2.588217248300746-0.13712153461319357i,2.588217248300746,6.984084687621623E-11
4.300000000000001,5.0E-8,2.0E-6,2.588217298147705-0.13712170427853437i,2.588217298147705,6.984136183505978E-11
4.300000000000001,5.0E-8,2.0E-6,2.5889956749261613-0.13697299058699164i,2.5889956749261613,1.2194575193855434E-12
4.300000000000001,5.0E-8,2.0E-6,2.594083929176378-0.04503596583313831i,2.594083929176378,6.98742857635308E-11
4.300000000000001,5.0E-8,2.0E-6,2.5940839388661017-0.04503597717313887i,2.5940839388661017,6.987460572659407E-11
4.300000000000001,5.0E-8,2.0E-6,2.5988677093308277-0.04381698607993843i,2.5988677093308277,7.019657985556333E-11
4.300000000000001,5.0E-8,2.0E-6,2.5989829114993883-0.0439339693222821i,2.5989829114993883,6.979357958124059E-11
4.300000000000001,5.0E-8,2.0E-6,2.602378254713603-0.04304929120638851i,2.602378254713603,6.97632519857232E-11
4.300000000000001,5.0E-8,2.0E-6,2.6023782651582525-0.043049303905892816i,2.6023782651582525,6.976359243421043E-11
4.300000000000001,5.0E-8,2.0E-6,2.6044482018686215-0.04255376679236632i,2.6044482018686215,6.974036682684015E-11
4.300000000000001,5.0E-8,2.0E-6,2.6044482078121742-0.04255377400917589i,2.6044482078121742,6.974061702429986E-11
4.300000000000001,5.0E-8,2.0E-6,2.605137835578259-0.04238881208740785i,2.605137835578259,1.0460061373495362E-10
4.300000000000001,1.0E-7,2.0E-6,2.4663821212186203-0.07630454043000749i,2.4663821212186203,7.08366780868633E-11
4.300000000000001,1.0E-7,2.0E-6,2.4663823851268707-0.07630447267861563i,2.4663823851268707,7.083675602902038E-11
4.300000000000001,1.0E-7,2.0E-6,2.4691839911676285,2.4691839911676285,7.977647642716869E-12
4.300000000000001,1.0E-7,2.0E-6,2.469186679513115,2.469186679513115,7.977679915956772E-12
4.300000000000001,1.0E-7,2.0E-6,2.485939846612455-0.07141567225829355i,2.485939846612455,7.071751786838465E-11
4.300000000000001,1.0E-7,2.0E-6,2.485939934782484-0.07141565111324896i,2.485939934782484,7.071753251657083E-11
4.300000000000001,1.0E-7,2.0E-6,2.503764240151421-0.06686213262114542i,2.503764240151421,7.09566676852562E-11
4.300000000000001,1.0E-7,2.0E-6,2.504059416275742-0.06704295515012629i,2.504059416275742,7.048289151486591E-11
4.300000000000001,1.0E-7,2.0E-6,2.520333420908673-0.0628975760761191i,2.520333420908673,7.07576800651398E-11
4.300000000000001,1.0E-7,2.0E-6,2.520333470599653-0.06289755798458777i,2.520333470599653,7.07577465423589E-11
4.300000000000001,1.0E-7,2.0E-6,2.524974816290957-0.14932623607149706i,2.524974816290957,6.955054464175036E-11
4.300000000000001,1.0E-7,2.0E-6,2.525098761801114-0.14949813349626795i,2.525098761801114,6.929301467973728E-11
4.300000000000001,1.0E-7,2.0E-6,2.5352355627427725-0.05923526363293842i,2.5352355627427725,7.07673171131143E-11
4.300000000000001,1.0E-7,2.0E-6,2.535235615313408-0.05923525394731463i,2.535235615313408,7.076763898559071E-11
4.300000000000001,1.0E-7,2.0E-6,2.5385957891493236-0.14670572684988417i,2.5385957891493236,6.941506515285202E-11
4.300000000000001,1.0E-7,2.0E-6,2.538595830922693-0.14670590166862046i,2.538595830922693,6.941498614726627E-11
4.300000000000001,1.0E-7,2.0E-6,2.5485098522556897-0.0558513022935572i,2.5485098522556897,7.068168147603517E-11
4.300000000000001,1.0E-7,2.0E-6,2.5487814975777385-0.05606289477605543i,2.5487814975777385,7.017965546212318E-11
4.300000000000001,1.0E-7,2.0E-6,2.5504953967364647-0.14435432783589922i,2.5504953967364647,6.964100723739288E-11
4.300000000000001,1.0E-7,2.0E-6,2.5504954708664345-0.14435454257100214i,2.5504954708664345,6.964095085492956E-11
4.300000000000001,1.0E-7,2.0E-6,2.5605870253550176-0.05305057211129924i,2.5605870253550176,7.035338499101363E-11
4.300000000000001,1.0E-7,2.0E-6,2.5605870270930735-0.05305058141306202i,2.5605870270930735,7.035368839622754E-11
4.300000000000001,1.0E-7,2.0E-6,2.560690220984727-0.14224581880570975i,2.560690220984727,6.953471046168083E-11
4.300000000000001,1.0E-7,2.0E-6,2.5608282243031666-0.14244428257654104i,2.5608282243031666,6.917232826125962E-11
4.300000000000001,1.0E-7,2.0E-6,2.5694088801712547-0.14066400832669498i,2.5694088801712547,6.942145141394E-11
4.300000000000001,1.0E-7,2.0E-6,2.569409048286656-0.14066449017122976i,2.569409048286656,6.942144050145552E-11
4.300000000000001,1.0E-7,2.0E-6,2.571079751251959-0.050504383973395184i,2.571079751251959,7.054665147937667E-11
4.300000000000001,1.0E-7,2.0E-6,2.5710797686950566-0.05050439495854533i,2.5710797686950566,7.054707819036307E-11
4.300000000000001,1.0E-7,2.0E-6,2.576463153831679-0.13930048189688268i,2.576463153831679,6.952056491783645E-11
4.300000000000001,1.0E-7,2.0E-6,2.576463247279221-0.1393007566831951i,2.576463247279221,6.952061680635755E-11
4.300000000000001,1.0E-7,2.0E-6,2.5800151243306706-0.04820032409511005i,2.5800151243306706,7.048159340836416E-11
4.300000000000001,1.0E-7,2.0E-6,2.5802659059008612-0.048431175032077584i,2.5802659059008612,6.99325337337723E-11
4.300000000000001,1.0E-7,2.0E-6,2.5818577220884937-0.1381352226663255i,2.5818577220884937,6.981054530454443E-11
4.300000000000001,1.0E-7,2.0E-6,2.582009225150218-0.1383656288175915i,2.582009225150218,6.911732264237268E-11
4.300000000000001,1.0E-7,2.0E-6,2.5858325868591847-0.13750494743741273i,2.5858325868591847,7.004509588236823E-11
4.300000000000001,1.0E-7,2.0E-6,2.5858326415066917-0.1375050838489233i,2.5858326415066917,7.00453760390719E-11
4.300000000000001,1.0E-7,2.0E-6,2.587784074453778-0.04647498727522216i,2.587784074453778,7.080420597964757E-11
4.300000000000001,1.0E-7,2.0E-6,2.5877840837128465-0.0464750034684104i,2.5877840837128465,7.080471131539547E-11
4.300000000000001,1.0E-7,2.0E-6,2.588170118380276-0.13705752910613456i,2.588170118380276,6.792006054859333E-11
4.300000000000001,1.0E-7,2.0E-6,2.5881702131639153-0.13705782354034907i,2.5881702131639153,6.792148691427062E-11
4.300000000000001,1.0E-7,2.0E-6,2.5889487534878195-0.13690895004355325i,2.5889487534878195,1.7121622270243003E-12
4.300000000000001,1.0E-7,2.0E-6,2.5940228784476598-0.04497315002138129i,2.5940228784476598,6.989386169927861E-11
4.300000000000001,1.0E-7,2.0E-6,2.594022879947698-0.04497315714747977i,2.594022879947698,6.989409847287663E-11
4.300000000000001,1.0E-7,2.0E-6,2.598745939673381-0.04369576087057218i,2.598745939673381,7.051685924860587E-11
4.300000000000001,1.0E-7,2.0E-6,2.59898307412841-0.04393346974608051i,2.59898307412841,6.978273652572228E-11
4.300000000000001,1.0E-7,2.0E-6,2.6023174519276004-0.0429906301711774i,2.6023174519276004,7.027388729561448E-11
4.300000000000001,1.0E-7,2.0E-6,2.602317453381174-0.04299063213869232i,2.602317453381174,7.027355669383406E-11
4.300000000000001,1.0E-7,2.0E-6,2.6043880098867347-0.042493811610510385i,2.6043880098867347,6.969812191563005E-11
4.300000000000001,1.0E-7,2.0E-6,2.604388020203024-0.042493824238066455i,2.604388020203024,6.969831580873832E-11
4.300000000000001,1.0E-7,2.0E-6,2.6050778128041867-0.04232859610698616i,2.6050778128041867,1.0453920280644789E-10
4.300000000000001,1.5E-7,2.0E-6,2.466285332531801-0.07624369869396756i,2.466285332531801,7.083520207827856E-11
4.300000000000001,1.5E-7,2.0E-6,2.466286667359901-0.07624340181772574i,2.466286667359901,7.083598001286945E-11
4.300000000000001,1.5E-7,2.0E-6,2.4702373072105237+3.604118350320908E-16i,2.4702373072105237,7.973710386101336E-12
4.300000000000001,1.5E-7,2.0E-6,2.4702380030402304,2.4702380030402304,7.973489539629773E-12
4.300000000000001,1.5E-7,2.0E-6,2.4858481488682176-0.07135205590576119i,2.4858481488682176,7.071729052425747E-11
4.300000000000001,1.5E-7,2.0E-6,2.4858490104131654-0.07135186235923345i,2.4858490104131654,7.071783307185582E-11
4.300000000000001,1.5E-7,2.0E-6,2.5035940358996807-0.06674717131608737i,2.5035940358996807,7.112643635855016E-11
4.300000000000001,1.5E-7,2.0E-6,2.504056543058701-0.0670295768315329i,2.504056543058701,7.04013923842649E-11
4.300000000000001,1.5E-7,2.0E-6,2.520250926875058-0.0628330802006113i,2.520250926875058,7.046007552776046E-11
4.300000000000001,1.5E-7,2.0E-6,2.5202512376932957-0.06283300300069737i,2.5202512376932957,7.046050231339944E-11
4.300000000000001,1.5E-7,2.0E-6,2.5248335398459614-0.149150110001374i,2.5248335398459614,6.976519355354139E-11
4.300000000000001,1.5E-7,2.0E-6,2.5250854676705514-0.14949171280424964i,2.5250854676705514,6.927932339643119E-11
4.300000000000001,1.5E-7,2.0E-6,2.535156347883545-0.05916821482498403i,2.535156347883545,7.042501820770958E-11
4.300000000000001,1.5E-7,2.0E-6,2.5351565463316432-0.05916818348407237i,2.5351565463316432,7.042563919286598E-11
4.300000000000001,1.5E-7,2.0E-6,2.5385208387412037-0.1466151637130074i,2.5385208387412037,6.955789599807932E-11
4.300000000000001,1.5E-7,2.0E-6,2.538520848596497-0.14661497058460074i,2.538520848596497,6.955808472014494E-11
4.300000000000001,1.5E-7,2.0E-6,2.5483572694260865-0.055725340749262914i,2.5483572694260865,7.088015029560819E-11
4.300000000000001,1.5E-7,2.0E-6,2.5487816047629046-0.056055496847662103i,2.5487816047629046,7.011349158577363E-11
4.300000000000001,1.5E-7,2.0E-6,2.5504234865026487-0.14426183694252553i,2.5504234865026487,6.986129230428428E-11
4.300000000000001,1.5E-7,2.0E-6,2.5504236193911964-0.1442623473435637i,2.5504236193911964,6.986111359133584E-11
4.300000000000001,1.5E-7,2.0E-6,2.560513336009577-0.05298428526328214i,2.560513336009577,7.094705633202664E-11
4.300000000000001,1.5E-7,2.0E-6,2.560513381619688-0.052984265457071i,2.560513381619688,7.094665110822235E-11
4.300000000000001,1.5E-7,2.0E-6,2.5605527945035904-0.14206362975689907i,2.5605527945035904,6.988464858439583E-11
4.300000000000001,1.5E-7,2.0E-6,2.560824010199665-0.14244450577475062i,2.560824010199665,6.915813497120733E-11
4.300000000000001,1.5E-7,2.0E-6,2.569338852748133-0.14057391847856385i,2.569338852748133,6.97113944259142E-11
4.300000000000001,1.5E-7,2.0E-6,2.5693391706966917-0.14057489536768777i,2.5693391706966917,6.971139028868302E-11
4.300000000000001,1.5E-7,2.0E-6,2.571008424963485-0.05043529103430973i,2.571008424963485,7.577620554976293E-11
4.300000000000001,1.5E-7,2.0E-6,2.5710084365705113-0.05043531988798242i,2.5710084365705113,7.57772235655389E-11
4.300000000000001,1.5E-7,2.0E-6,2.576395948220365-0.13920750718763591i,2.576395948220365,6.986493495062705E-11
4.300000000000001,1.5E-7,2.0E-6,2.5763962217572267-0.1392083569800907i,2.5763962217572267,6.986504131841187E-11
4.300000000000001,1.5E-7,2.0E-6,2.5798752143939665-0.04806805089458412i,2.5798752143939665,7.07144319507661E-11
4.300000000000001,1.5E-7,2.0E-6,2.5802661568846816-0.04842792442192946i,2.5802661568846816,6.988993714645834E-11
4.300000000000001,1.5E-7,2.0E-6,2.581721558729749-0.13795591410544686i,2.581721558729749,7.037543228975732E-11
4.300000000000001,1.5E-7,2.0E-6,2.582008700008525-0.13836719284927773i,2.582008700008525,6.911110769973505E-11
4.300000000000001,1.5E-7,2.0E-6,2.585762533065445-0.13741978927465665i,2.585762533065445,7.053992549400064E-11
4.300000000000001,1.5E-7,2.0E-6,2.5857627719085294-0.13742052946479485i,2.5857627719085294,7.054011359935935E-11
4.300000000000001,1.5E-7,2.0E-6,2.5877155166482533-0.0464084034966048i,2.5877155166482533,6.987031836784846E-11
4.300000000000001,1.5E-7,2.0E-6,2.5877155506037033-0.046408442740298046i,2.5877155506037033,6.987151012372504E-11
4.300000000000001,1.5E-7,2.0E-6,2.5881015973562644-0.13697078559235631i,2.5881015973562644,5.857963270144104E-11
4.300000000000001,1.5E-7,2.0E-6,2.588101711629508-0.13697113607076764i,2.588101711629508,5.857748733282189E-11
4.300000000000001,1.5E-7,2.0E-6,2.588880571360109-0.13682188536295445i,2.588880571360109,2.324474771348527E-12
4.300000000000001,1.5E-7,2.0E-6,2.5939562113553354-0.044902798062555295i,2.5939562113553354,6.98277949210163E-11
4.300000000000001,1.5E-7,2.0E-6,2.5939562429968572-0.04490283670773546i,2.5939562429968572,6.982872487363846E-11
4.300000000000001,1.5E-7,2.0E-6,2.59861243752999-0.043564048468707046i,2.59861243752999,7.083603782511707E-11
4.300000000000001,1.5E-7,2.0E-6,2.5989831314443266-0.043932621001135444i,2.5989831314443266,6.976958004843864E-11
4.300000000000001,1.5E-7,2.0E-6,2.602250332834989-0.04292872483872224i,2.602250332834989,6.966781442365275E-11
4.300000000000001,1.5E-7,2.0E-6,2.602250361581696-0.0429287595436257i,2.602250361581696,6.966866203784004E-11
4.300000000000001,1.5E-7,2.0E-6,2.604321777083511-0.042429667359906865i,2.604321777083511,6.964766608360334E-11
4.300000000000001,1.5E-7,2.0E-6,2.604321793104588-0.04242968554642946i,2.604321793104588,6.964798279428136E-11
4.300000000000001,1.5E-7,2.0E-6,2.6050118055252747-0.04226401376924816i,2.6050118055252747,1.0445199365222362E-10
4.300000000000001,2.0E-7,2.0E-6,2.466181663294199-0.07617044526709757i,2.466181663294199,7.183133228423387E-11
4.300000000000001,2.0E-7,2.0E-6,2.466181715824765-0.07617042815780194i,2.466181715824765,7.183129225601411E-11
4.300000000000001,2.0E-7,2.0E-6,2.4715006798687327-5.734252065729331E-16i,2.4715006798687327,7.980706506861531E-12
4.300000000000001,2.0E-7,2.0E-6,2.471505848887176,2.471505848887176,7.980266858422406E-12
4.300000000000001,2.0E-7,2.0E-6,2.4857488946634123-0.07127627188553876i,2.4857488946634123,7.087921865364037E-11
4.300000000000001,2.0E-7,2.0E-6,2.485748971960695-0.07127625346810408i,2.485748971960695,7.087936652655646E-11
4.300000000000001,2.0E-7,2.0E-6,2.5034074845004652-0.06661556857304846i,2.5034074845004652,7.129635183251283E-11
4.300000000000001,2.0E-7,2.0E-6,2.5040537709030564-0.06701138148632467i,2.5040537709030564,7.030012699505923E-11
4.300000000000001,2.0E-7,2.0E-6,2.5201609226337927-0.06275886447321066i,2.5201609226337927,7.457788869510614E-11
