% Model,hex structure V4 - GeAsS.mph
% Version,COMSOL 6.3.0.290
% Date,"May 31 2026, 12:13"
% Table,Table 1 - Global Evaluation 1
% wl,hang (m),r (m),Effective mode index (1),real(ewfd.neff) (1),Aeff (m^2)
3.1,1.0E-7,2.0E-6,2.4966352134360728-0.06233313164250591i,2.4966352134360728,6.779347114224322E-11
3.1,1.0E-7,2.0E-6,2.509975616603553-0.05987312439513929i,2.509975616603553,6.777831684460851E-11
3.1,1.0E-7,2.0E-6,2.509975867706833-0.05987309442560299i,2.509975867706833,6.777892221364205E-11
3.1,1.0E-7,2.0E-6,2.522299523061082-0.057480205544825524i,2.522299523061082,6.794296378253421E-11
3.1,1.0E-7,2.0E-6,2.5225827267418928-0.05769699896398647i,2.5225827267418928,6.75486518835547E-11
3.1,1.0E-7,2.0E-6,2.534044791595447-0.05547226188087001i,2.534044791595447,6.770619562502453E-11
3.1,1.0E-7,2.0E-6,2.534044928608759-0.05547223196986795i,2.534044928608759,6.770631967343644E-11
3.1,1.0E-7,2.0E-6,2.539195417362488,2.539195417362488,7.367443524923682E-12
3.1,1.0E-7,2.0E-6,2.539197968729031,2.539197968729031,7.367832441552047E-12
3.1,1.0E-7,2.0E-6,2.5447992207139762-0.053517076090619294i,2.5447992207139762,6.752650662961582E-11
3.1,1.0E-7,2.0E-6,2.54479926357245-0.05351706572238985i,2.54479926357245,6.752658269320468E-11
3.1,1.0E-7,2.0E-6,2.554581652994421-0.05160940210147164i,2.554581652994421,6.775665566519491E-11
3.1,1.0E-7,2.0E-6,2.5548496410175323-0.05183910975505131i,2.5548496410175323,6.732770280957774E-11
3.1,1.0E-7,2.0E-6,2.563804245343351-0.05008726155250932i,2.563804245343351,9.192150064319263E-11
3.1,1.0E-7,2.0E-6,2.5638042476742733-0.05008727277420292i,2.5638042476742733,9.192156120770673E-11
3.1,1.0E-7,2.0E-6,2.5720742109458814-0.04859977587202965i,2.5720742109458814,6.966914435232903E-11
3.1,1.0E-7,2.0E-6,2.572074252282805-0.04859979577750578i,2.572074252282805,6.966951560501845E-11
3.1,1.0E-7,2.0E-6,2.579330177426933-0.13946513065770122i,2.579330177426933,6.893102976338588E-11
3.1,1.0E-7,2.0E-6,2.579405331335387-0.047146283040910134i,2.579405331335387,6.761984506488742E-11
3.1,1.0E-7,2.0E-6,2.579508899694215-0.13973478194516656i,2.579508899694215,6.851892491118551E-11
