2[um],2.25[um],2.5[um]
1.16396441216601E-11,1.35019699511959E-11,1.56031451588998E-11
1.18079549438083E-11,1.36663690516301E-11,1.57669924361187E-11
1.19798234397085E-11,1.38337186914867E-11,1.59333737214998E-11
1.21553377949161E-11,1.40040828951765E-11,1.61023378619244E-11
1.23345881383327E-11,1.41775268795165E-11,1.62739344423368E-11
1.25176666006940E-11,1.43541170767602E-11,1.64482138002596E-11
1.27046673612181E-11,1.45339211567675E-11,1.66252270393983E-11
1.28956866901250E-11,1.47170080483103E-11,1.68050260422882E-11
1.30908229897787E-11,1.49034479595256E-11,1.69876634819428E-11
1.32901768357822E-11,1.50933123975839E-11,1.71731928324846E-11
1.34938510190286E-11,1.52866741876947E-11,1.73616683787574E-11
1.37019505897535E-11,1.54836074916616E-11,1.75531452249557E-11
1.39145829048551E-11,1.56841878262589E-11,1.77476793023453E-11
1.41318576800474E-11,1.58884920818903E-11,1.79453273761986E-11
1.43538870487862E-11,1.60965985420458E-11,1.81461470521355E-11
1.45807856303153E-11,1.63085869042938E-11,1.83501967821243E-11
1.48126706096408E-11,1.65245383037137E-11,1.85575358704907E-11
1.50496618326866E-11,1.67445353398362E-11,1.87682244803610E-11
1.52918819203693E-11,1.69686621084274E-11,1.89823236410739E-11
1.55394564057646E-11,1.71970042395967E-11,1.91998952572161E-11
1.57925138989360E-11,1.74296489439949E-11,1.94210021200097E-11
1.60511862843361E-11,1.76666850690239E-11,1.96457079219462E-11
1.63156089559312E-11,1.79082031672441E-11,1.98740772756280E-11
1.65859210952995E-11,1.81542955792502E-11,2.01061757379275E-11
1.68622659979428E-11,1.84050565335277E-11,2.03420698406389E-11
1.71447914528054E-11,1.86605822658136E-11,2.05818271289460E-11
1.74336501796633E-11,1.89209711606794E-11,2.08255162090084E-11
1.77290003283283E-11,1.91863239177797E-11,2.10732068061683E-11
1.80310060428916E-11,1.94567437454363E-11,2.13249698351418E-11
1.83398380931126E-11,1.97323365839426E-11,2.15808774837709E-11
1.86556745737886E-11,2.00132113605666E-11,2.18410033116465E-11
1.89787016715412E-11,2.02994802783620E-11,2.21054223651364E-11
1.93091144967546E-11,2.05912591397639E-11,2.23742113099074E-11
1.96471179766813E-11,2.08886677063664E-11,2.26474485824164E-11
1.99929278038831E-11,2.11918300952318E-11,2.29252145611509E-11
2.03467714323378E-11,2.15008752106000E-11,2.32075917580970E-11
2.07088891116109E-11,2.18159372114551E-11,2.34946650321301E-11
2.10795349478491E-11,2.21371560117608E-11,2.37865218228292E-11
2.14589779788592E-11,2.24646778126819E-11,2.40832524067415E-11
2.18475032490159E-11,2.27986556609836E-11,2.43849501738037E-11
2.22454128688843E-11,2.31392500322294E-11,2.46917119246667E-11
2.26530270437386E-11,2.34866294322330E-11,2.50036381874079E-11
2.30706850548397E-11,2.38409710137198E-11,2.53208335526220E-11
2.34987461774081E-11,2.42024611969161E-11,2.56434070228334E-11
2.39375905202725E-11,2.45712962952104E-11,2.59714723809908E-11
2.43876197717529E-11,2.49476831328767E-11,2.63051485654630E-11
2.48492578401636E-11,2.53318396517940E-11,2.66445600604013E-11
2.53229513757779E-11,2.57239954965375E-11,2.69898372859877E-11
2.58091701665096E-11,2.61243925772751E-11,2.73411170039932E-11
2.63084073988968E-11,2.65332855899980E-11,2.76985427116720E-11
2.68211797800687E-11,2.69509425064061E-11,2.80622650443090E-11
2.73480275174530E-11,2.73776450255491E-11,2.84324421695574E-11
2.78895141578848E-11,2.78136889567522E-11,2.88092401678341E-11
2.84462262859184E-11,2.82593845573052E-11,2.91928334229855E-11
2.90187730864688E-11,2.87150568334442E-11,2.95834049650487E-11
2.96077857814087E-11,2.91810457516741E-11,2.99811468399030E-11
3.02139169394381E-11,2.96577064115116E-11,3.03862604291304E-11
3.08378396818046E-11,3.01454091587170E-11,3.07989567715114E-11
3.14802467787986E-11,3.06445396475078E-11,3.12194568595277E-11
3.21418496635527E-11,3.11554988370772E-11,3.16479919210086E-11
3.28233773648743E-11,3.16787029461584E-11,3.20848036793879E-11
3.35255753765781E-11,3.22145833918194E-11,3.25301445990187E-11
3.42492044745727E-11,3.27635866516990E-11,3.29842781412895E-11
3.49950394980458E-11,3.33261741153665E-11,3.34474789640056E-11
3.57638681055515E-11,3.39028219517389E-11,3.39200331506672E-11
3.65564895169585E-11,3.44940209229569E-11,3.44022384548206E-11
3.73737132657002E-11,3.51002762085929E-11,3.48944045084818E-11
